Fiscal Year,国内総生産(支出側): 名目,国内総生産(支出側): 実質,国・地方PB,国債（債務償還費）,国債（利払い費）,地方債,デフレーター,総合CPI,名目GDP成長率,実質GDP成長率,GDPギャップ,潜在成長率,PB対GDP,公債等残高対GDP,インフレDf,インフレCPI,名目金利
1995,534.7,479.2,-18.2,,,,111.6,95.8,2.4,3,-0.2,1.5,-3.4,,-0.5,-0.2,3.2
1996,549.4,493.5,-17.4,,,,111.3,96.2,2.7,3,1.4,1.4,-3.2,,-0.3,0.4,3
1997,552.3,493.8,-13.3,,,,111.8,98.1,0.5,0,0.2,1.2,-2.4,,0.4,2,2.2
1998,541,486.7,-49.4,,,,111.1,98.3,-2,-1.4,-2.3,1,-9.1,,-0.6,0.2,1.5
1999,536.9,489.9,-32.3,,,,109.6,97.8,-0.8,0.7,-2.6,1,-6,,-1.4,-0.5,1.7
2000,545.8,503.7,-27.4,,,,108.4,97.2,1.7,2.8,-0.8,0.9,-5,,-1.1,-0.6,1.6
2001,535.4,499.6,-26.3,,,,107.2,96.3,-1.9,-0.8,-2.5,0.9,-4.9,,-1.1,-0.9,1.4
2002,530.5,503.8,-28.3,6.5,8.6,13,105.3,95.7,-0.9,0.8,-2.5,0.9,-5.3,113.4,-1.8,-0.6,1.1
2003,532.4,513.2,-27.6,7.3,7.8,13.2,103.7,95.5,0.4,1.9,-1.6,0.9,-5.2,120.9,-1.5,-0.2,1.1
2004,534.6,521.2,-20.2,9.8,7.3,13.1,102.6,95.4,0.4,1.6,-0.9,0.9,-3.8,129,-1.1,-0.1,1.5
2005,538.9,533,-13.8,11.1,7,13.9,101.1,95.2,0.8,2.3,0.5,0.8,-2.6,133.4,-1.5,-0.2,1.4
2006,542.8,541.2,-8.7,10.7,7,13.3,100.3,95.4,0.7,1.5,1.5,0.6,-1.6,133.2,-0.8,0.2,1.7
2007,543.8,547.5,-6.8,11.6,7.4,13,99.3,95.8,0.2,1.2,2.4,0.3,-1.3,134.3,-1,0.4,1.6
2008,522.5,529.3,-14.5,11.3,7.6,13.1,98.7,96.8,-3.9,-3.3,-1.1,0.1,-2.8,140.4,-0.6,1,1.4
2009,500.8,513,-36.1,10.5,7.7,12.9,97.6,95.2,-4.1,-3.1,-4.3,0.1,-7.2,156.4,-1.1,-1.7,1.3
2010,509.2,530.5,-31.7,11.4,7.9,12.9,96,94.7,1.7,3.4,-1.3,0.3,-6.2,162.5,-1.6,-0.5,1.1
2011,504.2,533.1,-32.7,11.2,8.1,12.9,94.6,94.6,-1,0.5,-1.4,0.6,-6.5,170.8,-1.5,-0.1,1
2012,504.5,537.2,-29.1,12.7,8,13,93.9,94.4,0.1,0.8,-1.4,0.8,-5.8,177.8,-0.7,-0.2,0.8
2013,519.2,552.5,-26.7,12.9,8.1,13.1,94,95.2,2.9,2.8,0.3,1,-5.1,180.4,0.1,0.8,0.7
2014,533.7,554.4,-20.6,13.6,8.3,13.3,96.3,98,2.8,0.3,-0.4,1.1,-3.9,181,2.4,2.9,0.4
2015,551.9,564.4,-16.2,13.8,8.3,12.9,97.8,98.2,3.4,1.8,0.4,1,-2.9,180.5,1.6,0.2,0.3
2016,556.3,567.9,-16.8,13.6,8.2,12.5,98,98.2,0.8,0.6,0.1,0.9,-3,183.3,0.2,0,-0.1
2017,567.7,578.2,-12.9,14.2,7.9,12.6,98.2,98.9,2,1.8,1.3,0.7,-2.3,183.3,0.2,0.7,0
2018,569.9,581.4,-11.2,14.5,7.8,12.3,98,99.6,0.4,0.6,1.4,0.5,-2,186,-0.2,0.7,0
2019,570.6,575.9,-15.4,14.4,7.6,12.1,99.1,100.1,0.1,-0.9,0.1,0.3,-2.7,187.7,1.1,0.5,-0.1
2020,554.3,554.3,-51.8,14.5,7.4,12,100,99.9,-2.9,-3.8,-4.1,0.4,-9.3,204.1,0.9,-0.2,0
2021,576.6,576.1,-33.5,17,7.2,12.6,100.1,100,4,3.9,-0.7,0.5,-5.8,203.8,0.1,0.1,0.1
2022,591.7,584.4,-20.5,16.3,7.1,12.3,101.3,103.2,2.6,1.4,0.2,0.5,-3.5,204.1,1.2,3.2,0.3
2023,619.4,584,-13.2,17.7,7.4,12.2,106.1,106.3,4.7,0,-0.2,0.4,-2.1,198.5,4.7,3,0.6
2024,642.4,586.8,-11.3,17.4,7.9,12.1,109.5,109.5,3.7,0.5,-0.2,0.5,-1.8,194.9,3.2,3,1.1
2025,669.2,,-8.4,18.5,9.4,10.7,,,4.2,1.1,0.3,0.6,-1.3,194.2,3.1,2.6,1.7
2026,691.9,,-4,17.9,13,10.8,,,3.4,1.3,0.8,0.8,-0.6,188.2,2,1.9,2.1
2027,703.1,,1.2,18.9,12.9,11.3,,,1.6,0.6,0.7,0.7,0.2,187.1,1.1,1.4,2.4
2028,711.9,,4.3,19.1,14.5,11.1,,,1.2,0.5,0.6,0.6,0.6,186.9,0.7,1.1,2.7
2029,720.5,,4.9,19.4,16.1,10.8,,,1.2,0.5,0.5,0.6,0.7,187,0.7,1.1,3
2030,729.2,,5.2,19.8,17.4,10.5,,,1.2,0.5,0.4,0.6,0.7,187.4,0.7,1.1,3.2
2031,737.9,,5.8,20.2,18.7,10.2,,,1.2,0.5,0.4,0.5,0.8,187.8,0.7,1.1,3.3
2032,746.6,,5.6,20.6,19.8,9.8,,,1.2,0.5,0.4,0.5,0.8,188.4,0.7,1.1,3.5
2033,755.2,,7.1,21,20.8,9.6,,,1.2,0.5,0.4,0.5,0.9,189,0.7,1.1,3.6
2034,763.5,,6.9,21.3,21.6,9.2,,,1.1,0.4,0.4,0.4,0.9,189.9,0.7,1.1,3.6
2035,771.7,,6.4,21.7,22.2,8.5,,,1.1,0.4,0.4,0.4,0.8,191,0.7,1.1,3.7